线路名称,方向,站点序号,站点名称
105,0,10,西单商场
105,0,11,缸瓦市
105,0,12,西四路口南
105,0,13,大红罗厂西口
105,0,14,平安里路口北
105,0,15,新街口南
105,0,16,新开胡同
105,0,17,西直门内
105,0,18,西直门外
105,0,19,动物园
105,0,20,白石桥东
105,1,1,白石桥东
105,1,2,动物园
105,1,3,西直门外
105,1,4,西直门内
105,1,5,新开胡同
105,1,6,新街口西
105,1,7,平安里路口南
105,1,8,大红罗厂西口
105,1,9,西四路口北
105,1,10,缸瓦市
105,1,11,甘石桥
105,1,12,西单商场
105,1,13,西单路口南
105,1,14,宣武门内
105,1,15,校场口
105,1,16,菜市口北
105,1,17,果子巷
105,1,18,虎坊桥路口南
105,1,19,永安路
105,1,20,友谊医院东
105,1,21,天桥
106,0,1,东直门枢纽站
106,0,2,东直门内
106,0,3,东内小街
106,0,4,北新桥路口南
106,0,5,东四十二条
106,0,6,魏家胡同
106,0,7,钱粮胡同
106,0,8,东四路口南
106,0,9,灯市东口
106,0,10,米市大街
106,0,11,东单路口北
106,0,12,崇文门内
106,0,13,磁器口北
106,0,14,红桥路口北
106,0,15,天坛北门
106,0,16,金鱼池
106,0,17,天桥
106,0,18,北纬路
106,0,19,太平街北口
106,0,20,太平街
106,0,21,陶然桥北
106,0,22,永定门长途汽车站
106,0,23,北京南站
106,1,1,北京南站
106,1,2,永定门长途汽车站
106,1,3,陶然桥北
106,1,4,太平街
106,1,5,北纬路
106,1,6,北纬路东口
106,1,7,天桥
106,1,8,金鱼池
106,1,9,天坛北门
106,1,10,红桥路口北
106,1,11,磁器口北
106,1,12,崇文门内
106,1,13,东单路口北
106,1,14,米市大街
106,1,15,灯市东口
106,1,16,东四路口南
106,1,17,钱粮胡同
106,1,18,魏家胡同
106,1,19,东四十二条
106,1,20,北新桥路口南
106,1,21,东内小街
106,1,22,东直门内
106,1,23,东直门枢纽站
107,0,1,东直门枢纽站
107,0,2,东直门内
107,0,3,东内小街
107,0,4,北新桥路口西
107,0,5,交道口东
107,0,6,小经厂
107,0,7,宝钞胡同
107,0,8,鼓楼
107,0,9,地安门外
107,0,10,北海北门
107,0,11,东官房
107,0,12,厂桥路口东
107,0,13,平安里路口东
107,0,14,平安医院
107,0,15,官园
107,0,16,车公庄西
107,0,17,三塔寺
107,0,18,二里沟东口
107,0,19,北京展览馆
107,0,20,动物园
107,0,21,白石桥东
107,1,1,白石桥东
107,1,2,动物园
107,1,3,北京展览馆
107,1,4,二里沟东口
107,1,5,三塔寺
107,1,6,车公庄东
107,1,7,官园
107,1,8,平安医院
107,1,9,平安里路口东
107,1,10,厂桥路口东
107,1,11,东官房
107,1,12,北海北门
107,1,13,地安门外
107,1,14,鼓楼
107,1,15,宝钞胡同
107,1,16,小经厂
107,1,17,交道口东
107,1,18,北新桥路口西
107,1,19,东内小街
107,1,20,东直门内
107,1,21,东直门枢纽站
108,0,1,崇文门外
108,0,2,崇文门内
108,0,3,东单路口北
108,0,4,米市大街
108,0,5,灯市东口
108,0,6,灯市西口
108,0,7,美术馆北
108,0,8,大佛寺
108,0,9,宽街路口南
108,0,10,北兵马司
108,0,11,交道口南
108,0,12,方家胡同
108,0,13,安定门内
108,0,14,地坛西门
108,0,15,蒋宅口
108,0,16,安外甘水桥
108,0,17,安贞里
108,0,18,五路居
108,0,19,奥体东门
108,0,20,安慧桥北
108,0,21,炎黄艺术馆
108,0,22,大屯南
108,1,1,大屯东
108,1,2,大屯南
108,1,3,炎黄艺术馆
108,1,4,安慧桥北
108,1,5,奥体东门
108,1,6,五路居
108,1,7,安贞里
108,1,8,安外甘水桥
108,1,9,蒋宅口
108,1,10,地坛西门
108,1,11,安定门内
108,1,12,方家胡同
108,1,13,交道口南
108,1,14,北兵马司
108,1,15,宽街路口南
108,1,16,大佛寺
108,1,17,美术馆北
108,1,18,灯市西口
108,1,19,灯市东口
108,1,20,米市大街
108,1,21,东单路口北
108,1,22,崇文门内
109,0,1,北京西站南广场
109,0,2,湾子
109,0,3,广外甘石桥
109,0,4,达官营
